"{'火盐', '矮人油'}", "{12, 7}", 999
"{'架子湾葡萄', '矮人油'}", "{12, 22}", 1039
"{'鳞片伞菌', '矮人油'}", "{36, 22}", 643
"{'树伞菌', '矮人油'}", "{36, 7}", 603
"{'天鹅菇', '矮人油'}", "{36, 7}", 603
"{'藤蔓丛', '矮人油'}", "{22, 7}", 346
"{'月亮糖', '矮人油'}", "{12, 7}", 999
"{'盐堆', '矮人油'}", "{12, 22}", 1039
"{'直立根', '矮人油'}", "{36, 12, 22, 7}", 1642
"{'阿贝希恩长鳍鱼', '短鹿角'}", "{1, 39}", 755
"{'白帽伞菌', '冰怨灵的牙'}", "{5, 30}", 404
"{'冰怨灵的牙', '寒霜幽魂牙齿'}", "{8, 5, 54, 30}", 1827
"{'白帽伞菌', '寒霜幽魂牙齿'}", "{5, 30}", 404
"{'白帽伞菌', '火盐'}", "{5, 7}", 301
"{'红山花', '白帽伞菌'}", "{7, 31}", 480
"{'精灵耳', '白帽伞菌'}", "{5, 7}", 301
"{'荆棘之心', '白帽伞菌'}", "{7, 31}", 480
"{'灵质', '白帽伞菌'}", "{7, 31}", 480
"{'贝瑞特的骨灰', '巢蚁猎人触角'}", "{33, 15}", 509
"{'贝瑞特的骨灰', '骨粉'}", "{48, 33, 10, 15}", 1009
"{'贝瑞特的骨灰', '灰烬藤蔓丛'}", "{10, 15}", 557
"{'贝瑞特的骨灰', '灰烬魔尘'}", "{48, 10}", 500
"{'贝瑞特的骨灰', '蓝蝶翅膀'}", "{33, 15}", 509
"{'先祖蛾翅膀', '贝瑞特的骨灰'}", "{33, 15}", 509
"{'刺柏浆果', '朱尼珀尔果'}", "{8, 17, 37, 13}", 2177
"{'月蛾翅膀', '巢蚁卵'}", "{16, 54}", 1440
"{'骨粉', '巢蚁猎人触角'}", "{33, 15}", 509
"{'巢蚁猎人触角', '加林根'}", "{19, 15}", 1135
"{'蓝山花', '巢蚁猎人触角'}", "{33, 19}", 1346
"{'蓝蝶翅膀', '巢蚁猎人触角'}", "{33, 19, 25, 15}", 1544
"{'树精的树液', '巢蚁猎人触角'}", "{25, 19}", 1035
"{'先祖蛾翅膀', '巢蚁猎人触角'}", "{33, 19, 25, 15}", 1544
"{'蜘蛛卵', '巢蚁猎人触角'}", "{19, 15}", 1135
"{'橙色蜻蜓', '红蜻蜓'}", "{40, 50, 6, 47}", 1095
"{'食人鱼卵', '橙色蜻蜓'}", "{40, 50}", 885
"{'橙色蜻蜓', '痛苦草'}", "{50, 47}", 380
"{'草籽', '红山花'}", "{7, 47}", 210
"{'猛犸牙粉', '长毛象牙粉末'}", "{8, 21, 38, 6}", 1344
"{'气母胶质', '长毛象牙粉末'}", "{21, 6}", 604
"{'水母果冻', '长毛象牙粉末'}", "{21, 6}", 604
"{'紫山花', '长毛象牙粉末'}", "{38, 6}", 715
"{'长鹿角', '希思特鲤鱼'}", "{17, 6}", 744
"{'萤火虫的胸壳', '长鹿角'}", "{32, 6}", 490
"{'长鹿角', '银岸鲈鱼'}", "{17, 6}", 744
"{'吊苔', '光尘'}", "{16, 19}", 1181
"{'吊苔', '加林根'}", "{16, 19}", 1181
"{'蓝山花', '吊苔'}", "{35, 19}", 1379
"{'人类心脏', '吊苔'}", "{16, 19}", 1181
"{'熊爪', '吊苔'}", "{35, 42, 19}", 1941
"{'食人鱼卵', '大蒜'}", "{32, 2}", 775
"{'帝王伞苔', '红山花'}", "{14, 31}", 348
"{'帝王伞苔', '巨魔脂肪'}", "{43, 14}", 584
"{'帝王伞苔', '灵质'}", "{14, 31}", 348
"{'帝王伞苔', '虚无盐'}", "{14, 31}", 348
"{'帝王蝴蝶翅膀', '蝴蝶翅膀'}", "{16, 28, 4, 53}", 601
"{'剑齿虎眼', '帝王蝴蝶翅膀'}", "{16, 4}", 323
"{'魔族心脏', '帝王蝴蝶翅膀'}", "{16, 4}", 323
"{'毒茂花', '河布丁'}", "{18, 45, 14}", 1932
"{'气母胶质', '毒茂花'}", "{45, 21}", 1442
"{'毒茂花', '丧钟花'}", "{18, 14}", 941
"{'水母果冻', '毒茂花'}", "{45, 21}", 1442
"{'毒茂花', '特拉玛根'}", "{18, 45}", 1911
"{'真菌的根', '毒茂花'}", "{18, 45}", 1911
"{'毒蝇伞', '飞天菇菌'}", "{43, 10, 11, 20}", 2221
"{'毒蝇伞', '巨魔脂肪'}", "{43, 20}", 967
"{'毒蝇伞', '龙舌兰'}", "{10, 43}", 971
"{'短鹿角', '龙葵'}", "{53, 14}", 69
"{'短鹿角', '丧钟花'}", "{1, 14}", 214
"{'短鹿角', '夜茄'}", "{53, 14}", 69
"{'恶鼠尾巴', '雪鼠尾巴'}", "{17, 29, 46, 14}", 891
"{'恶鼠尾巴', '银岸鲈鱼'}", "{17, 46}", 614
"{'巨魔脂肪', '伐莫耳'}", "{2, 20, 14}", 863
"{'人类心脏', '伐莫耳'}", "{20, 14}", 425
"{'雪精灵耳', '伐莫耳'}", "{2, 26, 20, 14}", 986
"{'蜜蜂', '蜂巢'}", "{48, 6}", 245
"{'蜂巢', '珍珠'}", "{41, 6}", 715
"{'鹰羽毛', '蜂箱外壳'}", "{29, 38}", 818
"{'灰烬跳虫胶质', '法萨德燕鸥羽毛'}", "{4, 29}", 384
"{'焦黑的恶鼠皮', '法萨德燕鸥羽毛'}", "{4, 55}", 164
"{'烧焦雪鼠尾巴', '法萨德燕鸥羽毛'}", "{4, 55}", 164
"{'鹰羽毛', '法萨德燕鸥羽毛'}", "{29, 55}", 292
"{'巨魔脂肪', '飞天菇菌'}", "{43, 20}", 967
"{'龙舌兰', '飞天菇菌'}", "{10, 43}", 971
"{'光尘', '加林根'}", "{16, 19}", 1181
"{'光尘', '龙葵'}", "{19, 44}", 1706
"{'人类心脏', '光尘'}", "{16, 19}", 1181
"{'微光伞菌', '光尘'}", "{51, 44}", 1128
"{'夜茄', '光尘'}", "{19, 44}", 1706
"{'光尘', '荧光菇'}", "{51, 44}", 1128
"{'鲑鱼卵', '架子湾葡萄'}", "{12, 31}", 1173
"{'鲑鱼卵', '希思特鲤鱼'}", "{52, 6, 31}", 958
"{'骨粉', '灰烬藤蔓丛'}", "{10, 15}", 557
"{'骨粉', '灰烬魔尘'}", "{48, 10}", 500
"{'骨粉', '蓝蝶翅膀'}", "{33, 15}", 509
"{'先祖蛾翅膀', '骨粉'}", "{33, 15}", 509
"{'寒霜甘草', '银岸鲈鱼'}", "{17, 9}", 999
"{'寒霜甘草', '紫山花'}", "{9, 38}", 970
"{'烈焰树精木片', '河布丁'}", "{18, 27}", 1145
"{'河布丁', '丧钟花'}", "{18, 14}", 941
"{'烧焦的树精木', '河布丁'}", "{18, 27}", 1145
"{'河布丁', '特拉玛根'}", "{18, 45}", 1911
"{'真菌的根', '河布丁'}", "{18, 45}", 1911
"{'精灵耳', '火盐'}", "{10, 5, 7}", 709
"{'火盐', '月亮糖'}", "{12, 7}", 999
"{'直立根', '火盐'}", "{12, 7}", 999
"{'奈恩根', '灰烬藤蔓丛'}", "{54, 15}", 1394
"{'灰烬藤蔓丛', '深红奈恩根'}", "{54, 15}", 1394
"{'猩红奈恩根', '灰烬藤蔓丛'}", "{54, 15}", 1394
"{'蓝色蜻蜓', '灰烬跳虫胶质'}", "{51, 4}", 536
"{'沼泽真菌荚', '灰烬跳虫胶质'}", "{51, 4}", 536
"{'痛苦草', '灰烬魔尘'}", "{48, 47}", 149
"{'雪果', '灰烬魔尘'}", "{25, 10}", 457
"{'荆棘之心', '红山花'}", "{7, 31}", 480
"{'灵质', '红山花'}", "{7, 14, 31}", 501
"{'人肉', '红山花'}", "{14, 7}", 174
"{'红山花', '虚无盐'}", "{14, 31}", 348
"{'巨人脚趾', '黄山花'}", "{17, 35}", 984
"{'黄山花', '小麦'}", "{17, 35}", 984
"{'食人鱼卵', '红蜻蜓'}", "{40, 50}", 885
"{'痛苦草', '红蜻蜓'}", "{50, 47}", 380
"{'剑齿虎眼', '蝴蝶翅膀'}", "{16, 4}", 323
"{'魔族心脏', '蝴蝶翅膀'}", "{16, 4}", 323
"{'松木画眉蛋', '剑齿虎牙齿'}", "{1, 6}", 346
"{'剑齿虎眼', '焦黑的恶鼠皮'}", "{4, 6}", 281
"{'剑齿虎眼', '魔族心脏'}", "{16, 4}", 323
